words,definition
new state,<p>New state là trạng thái khi tiến trình (process) vừa được tạo. Nó là trạng thái đầu tiên của một tiến trình.</p>
dispatch latency,<p>Dispatch latency được định nghĩa là thời gian dispatcher tiêu tốn để dừng một tiến trình (process) và bắt đầu chạy tiến trình khác.</p>
lead time,"<p>Lead time là khoảng thời gian do nhà cung cấp hoặc nhà cung cấp dịch vụ xác định, cần thiết để đáp ứng yêu cầu hoặc nhu cầu của khách hàng.  Lead time về cơ bản là khoảng cách thời gian giữa đơn hàng do khách hàng đặt và thời điểm khách hàng nhận được giao hàng cuối cùng, mặt khác.</p>"
arrival time,<span> Thời gian đến</span>
exit time,<span> Thời gian thoát</span>
burst time,"<p>Mọi tiến trình (process) trong hệ thống máy tính đều cần một khoảng thời gian nhất định để thực thi. Thời gian này vừa là thời gian CPU (CPU time) vừa là thời gian I/O (I/O time). Thời gian CPU là thời gian được thực hiện bởi CPU để thực thi tiến trình. Trong khi thời gian I/O là thời gian tiến trình thực hiện một số thao tác I/O (I/O operation). Nói chung, chúng ta bỏ qua thời gian I/O và chúng ra chỉ xem xét thời gian CPU cho một tiến trình. Vì vậy, burst time là tổng thời gian tiến trình thực thi trên CPU.</p>"
load average,"<p>Khi đề cập đến định thời CPU (CPU scheduling), load average là số lượng trung bình của các tiến trình (process) nằm trong hàng đợi sẵn sàng (ready queue) chờ đến lượt của chúng để kiểm soát CPU.</p>"
waiting time,"<p>Khi đề cập đến định thời CPU (CPU scheduling), thời gian chờ (waiting time) là tổng khoảng thời gian mà một tiến tình (process) dành cho việc chờ đợi trong hàng đợi sẵn sàng (ready queue) để có được quyền kiểm soát trên CPU.</p>"
turnaround time,"<p>Trong xử lý hàng loạt (batch processing), turnaround time là  thời gian nhận được báo cáo kết thúc sau khi gửi tài liệu (document) hoặc tập tin để xử lý. Trong môi trường trực tuyến, turnaround time giống như thời gian phản hồi (response time).</p>"
turnaround time,"<p>Trong truyền bán song công (half-duplex transmission), turnaround time thời gian cần thiết để thay đổi từ truyền sang nhận và ngược lại.</p>"
turnaround time,<p>Turnaround time là tổng thời gian được thực hiện từ khi gửi chương trình / tiến trình (process) / luồng (thread) / tác vụ (task) để thực thi đến khi trả lại kết quả đầu ra (output) hoàn chỉnh cho người dùng. Nó có thể khác nhau đối với các ngôn ngữ lập trình khác nhau tùy thuộc vào nhà phát triển phần mềm hoặc chương trình. Turnaround time có thể chỉ đơn giản là tổng thời gian cần thiết để một chương trình cung cấp đầu ra cần thiết cho người dùng sau khi chương trình được khởi động.</p>
CPU scheduler,<span> Bộ lập lịch CPU</span>
burst cycle,"<p>Burst cycle là việc thực thi của tiến trình bao gồm một chu kỳ của CPU burst và I/O burst. Thông thường, nó bắt đầu với CPU burst và sau đó là I/O burst, một CPU burst khác, một I/O burst khác v.v. Chu kỳ này sẽ tiếp tục cho đến khi tiến trình kết thúc.</p>"
I/O burst,"<p>I/O burst là lượng thời gian, một tiến trình (process) đợi đầu vào - đầu ra trước khi cần thời gian của CPU.</p>"
CPU burst,<p>CPU burst là khoảng thời gian một tiến trình (process) sử dụng CPU cho đến khi nó bắt đầu chờ một số đầu vào (input) hoặc bị gián đoạn bởi một số tiến trình khác.</p>
non-preemptive scheduling,"<p>Non-preemptive scheduling là một phương pháp định thời CPU (CPU scheduling), trong đó khi CPU đã được cấp phát cho một tiến trình (process), tiến trình sẽ giữ CPU cho đến khi nó giải phóng CPU bằng cách kết thúc hoặc bằng cách chuyển sang trạng thái chờ (waiting state).</p>"
preemptive scheduling,"<p>Preemptive scheduling là một phương pháp định thời CPU (CPU scheduling), trong đó các tác vụ (task) được gán với mức độ ưu tiên (priority) của chúng. Đôi khi điều quan trọng là phải chạy một tác vụ có mức độ ưu tiên cao hơn trước một tác vụ khác có mức độ ưu tiên thấp hơn, ngay cả khi tác vụ có mức độ ưu tiên thấp hơn vẫn đang chạy. Tác vụ có mức độ ưu tiên thấp hơn được giữ trong một thời gian và tiếp tục khi tác vụ có mức độ ưu tiên cao hơn hoàn thành việc thực thi.</p>"
CPU scheduling,<span> Định thời CPU</span>
stateless,<span> Không trạng thái</span>
mutable,"<p>Thay đổi được (mutable ) là một loại biến có thể thay đổi được. Trong JavaScript, chỉ các đối tượng (object) và mảng (array) là có thể thay đổi được, không phải là giá trị nguyên thủy (primitive value). Ví dụ: một đối tượng thay đổi được (mutable object) là một đối tượng (object) có trạng thái (state) có thể được sửa đổi sau khi nó được tạo.</p>"
read-eval-print loop,"<p>Read-eval-print loop (REPL) là một môi trường lập trình máy tính tương tác đơn giản lấy đầu vào của một người dùng, thực thi chúng và trả về kết quả cho người dùng. Một chương trình được viết trong môi trường REPL được thực thi từng phần. Nó tương tự như Shell (Unix / Linux) và dấu nhắc lệnh (command prompt). Một số ví dụ bao gồm console của Node.js, IPython, Bash shell và developer console được tìm thấy trong hầu hết các trình duyệt web.</p>"
javascript runtime,"<p>Javascript runtime đề cập đến nơi mã javascript của bạn được thực thi khi bạn chạy nó. Điều đó có nghĩa là javascript có thể được thực thi trên google chrome, trong trường hợp đó javascript runtime của bạn là v8.</p>"
fault-tolerant computer system,<span> Hệ thống máy tính chịu lỗi</span>
digital data,<span> Dữ liệu kỹ thuật số</span>
computer ethics,<span> Đạo đức máy tính</span>
redundant power supply,<span> Bộ cấp nguồn có dự phòng</span>
backup battery,<span> Pin dự phòng</span>
triple fault,<span> Lỗi ba</span>
random reboot,<span> Khởi động lại ngẫu nhiên</span>
glossary,<span> Bảng thuật ngữ</span>
instruction path length,<span> Độ dài đường dẫn lệnh</span>
self-modifying code,<span> Mã tự sửa đổi</span>
write access,<span> Quyền ghi</span>
text region,<p>Text region đồng nghĩa với text segment.</p>
user protection domain,<span> Miền bảo vệ người dùng</span>
protection domain,<span> Miền bảo vệ</span>
protection domain,<span> Miền bảo vệ</span>
trap,"<span> Bẫy, bắt</span>"
predictive modeling,<span> Mô hình dự đoán</span>
free text,<span> Văn bản tự do</span>
histogram,<span> Biểu đồ</span>
feature extraction,<span> Trích xuất đặc trưng</span>
assertion,"<p>Trong lập trình máy tính (computer programming), assertion là một cấu trúc (construct) của ngôn ngữ lập trình (programming language) để kiểm tra xem một biểu thức (expression) có true hay không. Các assertion được viết để chúng luôn được đánh giá (evaluate) là true. Nếu một assertion là false, nó chỉ ra một lỗi có thể xảy ra trong chương trình. Đây được gọi là assertion failure.</p>"
rule-based system,<span> Hệ dựa trên quy tắc</span>
manner,<span> Cách</span>
text classifier,"<span> Bộ phân loại văn bản, trình phân loại văn bản</span>"
open-ended text,<span> Văn bản mở</span>
sentiment analysis,<span> Phân tích cảm xúc</span>
language detection,<span> Phát hiện ngôn ngữ</span>
theme,<p>Theme đồng nghĩa với chủ đề (topic).</p>
theme,"<p>Trong thiết kế web, theme là từ đồng nghĩa với template</p>"
topic detection,<span> Phát hiện chủ đề</span>
unstructured text,<span> Văn bản phi cấu trúc</span>
text classification,"<p>Phân loại văn bản (text classification) là hoạt động gắn nhãn (label) các văn bản của ngôn ngữ tự nhiên (natural language) với các nhãn từ một tập hợp được xác định trước.  Ví dụ như xác định chủ đề (topic) của một đoạn văn bản, các cuộc trò chuyện có thể được sắp xếp theo ngôn ngữ, phát hiện ngôn ngữ của một văn bản nhất định, v.v.</p>"
model validation,<span> Xác thực mô hình</span>
validation set,<span> Tập tối ưu</span>
reboot,<span> Khởi động lại</span>
power up,<span> Bật nguồn</span>
data classification,<span> Phân loại dữ liệu</span>
database clustering,<span> Phân cụm cơ sở dữ liệu</span>
database cluster,<span> Cụm cơ sở dữ liệu</span>
take over,<span> Tiếp quản</span>
distributed lock manager,<span> Trình quản lý khóa phân tán</span>
distributed lock manager,<span> Trình quản lý khóa phân tán</span>
parallel cluster,<span> Cụm song song</span>
parallelization,<span> Song song hóa</span>
symmetric clustering,<span> Phân cụm đối xứng</span>
browser window,<span> Cửa sổ trình duyệt</span>
tabbed browsing,"<p>Tabbed browsing là một hình thức điều hướng (navigation) cho phép người dùng duyệt (browse) nhiều trang web trong một cửa sổ (window) duy nhất. Các trang bổ sung này được biểu thị bằng các tab ở đầu cửa sổ trình duyệt (browser window). Tính năng này dành cho những người dùng muốn xem nhiều trang web đồng thời nhưng không muốn mở nhiều cửa sổ trình duyệt. Trong hình ảnh, bạn có thể thấy cửa sổ Mozilla Firefox 1.0.7 có hai tab đang mở, gần đầu cửa sổ trình duyệt.</p>"
